"","Stem_height","Leaf1_length","Leaf1_width","Leaf2_length","Leaf2_width","OuterTepal_length","OuterTepal_width","InnerTepal_length","InnerTepal_width","Stamen_height","Pistil_height"
"Stem_height",1,0.662,0.3445,0.6887,0.4769,0.4957,0.0944,0.4502,-0.0072,0.395,0.4192
"Leaf1_length",0.662,1,0.6348,0.944,0.6224,0.4562,0.1847,0.3798,0.0842,0.3309,0.208
"Leaf1_width",0.3445,0.6348,1,0.6199,0.7972,0.3386,0.3227,0.3264,0.2072,0.3868,0.2116
"Leaf2_length",0.6887,0.944,0.6199,1,0.627,0.4909,0.2218,0.3958,0.1229,0.3258,0.169
"Leaf2_width",0.4769,0.6224,0.7972,0.627,1,0.3716,0.3799,0.3823,0.2476,0.4693,0.2727
"OuterTepal_length",0.4957,0.4562,0.3386,0.4909,0.3716,1,0.5987,0.9239,0.4895,0.4545,0.5967
"OuterTepal_width",0.0944,0.1847,0.3227,0.2218,0.3799,0.5987,1,0.6373,0.8787,0.2456,0.3422
"InnerTepal_length",0.4502,0.3798,0.3264,0.3958,0.3823,0.9239,0.6373,1,0.5695,0.5436,0.6104
"InnerTepal_width",-0.0072,0.0842,0.2072,0.1229,0.2476,0.4895,0.8787,0.5695,1,0.2052,0.2921
"Stamen_height",0.395,0.3309,0.3868,0.3258,0.4693,0.4545,0.2456,0.5436,0.2052,1,0.2937
"Pistil_height",0.4192,0.208,0.2116,0.169,0.2727,0.5967,0.3422,0.6104,0.2921,0.2937,1
